Timestamp UNIX,Timestamp Local, X,Y, Left Pupil Diameter, Right Pupil Diameter, Left Eye Openness, Right Eye Openness, Gaze on Left, Gaze on Middle, Gaze on Right
'1731039852794,'2024-11-08 15:24:12.794,0,200,-1,-1,-1,-1,0,0,0
'1731039852804,'2024-11-08 15:24:12.804,0,200,-1,-1,-1,-1,0,0,0
'1731039852820,'2024-11-08 15:24:12.820,0,200,-1,-1,-1,-1,0,0,0
'1731039852829,'2024-11-08 15:24:12.829,0,200,-1,-1,-1,-1,0,0,0
'1731039852838,'2024-11-08 15:24:12.838,0,200,-1,-1,-1,-1,0,0,0
'1731039852846,'2024-11-08 15:24:12.846,0,200,-1,-1,-1,-1,0,0,0
'1731039852863,'2024-11-08 15:24:12.863,0,200,-1,-1,-1,-1,0,0,0
'1731039852872,'2024-11-08 15:24:12.872,0,200,-1,-1,-1,-1,0,0,0
'1731039852881,'2024-11-08 15:24:12.881,0,200,-1,-1,-1,-1,0,0,0
'1731039852889,'2024-11-08 15:24:12.889,0,200,-1,-1,-1,-1,0,0,0
'1731039852898,'2024-11-08 15:24:12.898,0,200,-1,-1,-1,-1,0,0,0
'1731039852915,'2024-11-08 15:24:12.915,0,200,-1,-1,-1,-1,0,0,0
'1731039852924,'2024-11-08 15:24:12.924,0,200,-1,-1,-1,-1,0,0,0
'1731039852940,'2024-11-08 15:24:12.940,0,200,-1,-1,-1,-1,0,0,0
'1731039852949,'2024-11-08 15:24:12.949,0,200,-1,-1,-1,-1,0,0,0
'1731039852957,'2024-11-08 15:24:12.957,0,200,-1,-1,-1,-1,0,0,0
'1731039852975,'2024-11-08 15:24:12.975,0,200,-1,-1,-1,-1,0,0,0
'1731039852983,'2024-11-08 15:24:12.983,0,200,-1,-1,-1,-1,0,0,0
'1731039852991,'2024-11-08 15:24:12.991,0,200,-1,-1,-1,-1,0,0,0
'1731039853000,'2024-11-08 15:24:13.000,0,200,-1,-1,-1,-1,0,0,0
'1731039853017,'2024-11-08 15:24:13.017,0,200,-1,-1,-1,-1,0,0,0
'1731039853026,'2024-11-08 15:24:13.026,0,200,-1,-1,-1,-1,0,0,0
'1731039853035,'2024-11-08 15:24:13.035,0,200,-1,-1,-1,-1,0,0,0
'1731039853043,'2024-11-08 15:24:13.043,0,200,-1,-1,-1,-1,0,0,0
'1731039853052,'2024-11-08 15:24:13.052,0,200,-1,-1,-1,-1,0,0,0
